id,logFC,p.adjust
RELA,-1.671371471,3.01E-10
CSRP1,1.4143998,3.01E-10
WASHC3,0.531290706,3.01E-10
FAM186B,3.485496894,3.01E-10
SLC38A5,1.282940753,3.03E-10
LDC1P,1.863291059,3.04E-10
ZNF268,1.069755094,3.06E-10
GAS2,0.364751882,3.08E-10
TRAK1,2.030457165,3.09E-10
NPPC,-1.238483494,3.10E-10
CCDC39,1.870613918,3.10E-10
GNL3,4.759344606,3.11E-10
GADL1,1.110944247,3.13E-10
D2HGDH,0.816725229,3.13E-10
OPLAH,1.193066506,3.14E-10
PCDHGA1,0.833775147,3.16E-10
TRIM34,1.234502141,3.17E-10
KRT12,-2.095647835,3.18E-10
TXNDC12,-1.757239635,3.20E-10
ITGA5,2.386269918,3.23E-10
PRDM13,1.205526847,3.23E-10
HOOK2,1.833337518,3.23E-10
ERMP1,1.032863235,3.23E-10
MAGEA12,2.628479406,3.24E-10
LINC02583,0.920121482,3.24E-10
ZFPL1,1.218249982,3.30E-10
FGL2,0.996452641,3.30E-10
CHRM4,0.996982476,3.31E-10
NEU2,-1.571201065,3.32E-10
CTAGE11P,1.235780324,3.32E-10
BARX1,0.924707512,3.37E-10
ATF7IP,3.665071959,3.37E-10
KIR3DS1,0.518974829,3.37E-10
MPLKIP,1.262392153,3.39E-10
ZBTB18,1.241412459,3.39E-10
TBC1D22A-AS1,1.645067,3.41E-10
ATP6V0B,1.102900353,3.41E-10
IGKV1D-37,0.618739606,3.42E-10
ATG16L1,2.089881065,3.43E-10
INSRR,3.223929418,3.44E-10
SESN1,1.211909635,3.45E-10
LOC389831,2.234241312,3.46E-10
KCTD12,0.836617929,3.46E-10
CEPT1,2.057234153,3.48E-10
NEB,1.445160788,3.51E-10
CBX8,1.626680529,3.51E-10
DCTN4,1.442920371,3.51E-10
ST8SIA3,1.450389771,3.52E-10
TRIM65,3.538510018,3.54E-10
COQ9,1.2069384,3.55E-10
DUSP8,1.624978947,3.56E-10
LCORL,1.065877941,3.57E-10
STAT6,1.647807606,3.60E-10
JPT2,1.687089194,3.61E-10
MFAP5,1.687900482,3.62E-10
RET,-1.781184882,3.64E-10
TTLL7,-1.629747847,3.65E-10
RCCD1,1.829646512,3.65E-10
NTF3,1.923676759,3.66E-10
CRYGB,0.710046318,3.68E-10
OXSM,0.938891476,3.71E-10
BOLA2,4.497139176,3.72E-10
SPHK1,0.896399694,3.75E-10
DUSP28,1.047334476,3.75E-10
RARRES1,1.534551253,3.82E-10
KLRC4,1.518561547,3.87E-10
KBTBD4,2.034691371,3.90E-10
SNTB1,0.755545,3.90E-10
MOCS3,1.099642982,3.92E-10
DKK1,1.392839318,3.93E-10
TUBGCP2,4.021501712,3.93E-10
PRR12,0.937086665,3.94E-10
ANXA3,2.782177529,3.94E-10
LOC105370109,-1.532844318,3.94E-10
THAP6,1.273253547,3.94E-10
RAPGEF3,0.913259171,3.95E-10
TMC6,3.264937335,3.96E-10
CD163,3.471231818,3.98E-10
SELENOH,1.225365641,3.98E-10
WASHC5,2.582461971,3.99E-10
RBBP4,2.183955847,3.99E-10
SLC7A5,1.610301241,4.00E-10
TNFAIP6,1.802629076,4.02E-10
DHFR,1.794764335,4.03E-10
DAZ1,1.007944865,4.04E-10
FEN1,1.218436441,4.05E-10
MNS1,1.227793318,4.07E-10
MRPS17,2.508157871,4.08E-10
PLS1,2.407057253,4.08E-10
PTPN23,1.527668453,4.09E-10
DMAC1,3.535145841,4.09E-10
PIPOX,0.883869082,4.11E-10
SPACA1,-2.158648265,4.12E-10
JAK1,2.9170756,4.12E-10
EDAR,1.970747394,4.15E-10
TNNC1,1.664418971,4.15E-10
SELENOS,1.964755806,4.17E-10
MND1,1.225116394,4.21E-10
CAST,1.563690924,4.23E-10
A1BG,1.595313871,4.24E-10
RCN2,1.029601082,4.26E-10
FBXW5,1.326860282,4.29E-10
GPR160,4.598991741,4.31E-10
SEMA4A,-2.311328806,4.31E-10
TMEM108,3.148874235,4.33E-10
DESI1,2.561085688,4.34E-10
SARNP,2.723862841,4.34E-10
GSR,2.500941676,4.34E-10
RXRB,0.862652053,4.35E-10
BARD1,2.116536965,4.36E-10
PCDHB11,-0.800823894,4.37E-10
ANKRD30A,2.570215647,4.38E-10
XCL2,1.361146429,4.38E-10
BEND4,0.870538171,4.38E-10
QPCTL,1.431442229,4.41E-10
HS1BP3,1.144970812,4.42E-10
NSFL1C,1.154668682,4.43E-10
TCEAL4,2.573196353,4.45E-10
NETO2,-1.483307829,4.46E-10
TGFBR3,1.221822024,4.49E-10
LOC101928191,1.065787424,4.49E-10
CFHR1,5.254837335,4.49E-10
DCUN1D5,1.008054935,4.50E-10
NIF3L1,1.440350129,4.51E-10
DDR1,1.755069424,4.54E-10
SPCS2,1.275553188,4.54E-10
CEL,1.592673224,4.54E-10
LINC02395,0.751330176,4.57E-10
ABCA3,2.180165688,4.61E-10
AFM,3.622708512,4.63E-10
TSHB,3.211594418,4.64E-10
HERC2P7,1.214588847,4.66E-10
C3,-1.755896682,4.67E-10
SBK1,1.431960882,4.69E-10
MED29,1.110985282,4.71E-10
PQBP1,1.819284947,4.72E-10
LSR,0.700875094,4.74E-10
FABP1,-1.617491941,4.75E-10
GMFG,1.638585124,4.76E-10
GPRIN3,0.614487635,4.77E-10
APIP,-1.244466829,4.77E-10
MARK4,1.673149818,4.77E-10
LRRC28,1.893953924,4.80E-10
ZNF92,1.259501941,4.80E-10
CTAGE15,1.192499024,4.81E-10
TMEM38A,2.496866406,4.87E-10
SEPTIN7P2,1.613159206,4.89E-10
GALNT5,4.266188594,4.89E-10
RINT1,1.529491918,4.89E-10
KLHL5,-1.339395571,4.93E-10
TCEA1,5.4557447,4.99E-10
TTI1,-1.678797029,4.99E-10
EGFLAM-AS2,2.080172371,5.01E-10
SLC51A,5.717613335,5.01E-10
DDAH1,0.645182665,5.01E-10
MIPOL1,3.047242253,5.04E-10
CEACAM6,1.252814941,5.04E-10
MRPS2,1.811382582,5.08E-10
SYDE1,0.581630335,5.08E-10
LINC02805,2.128738047,5.13E-10
SUGCT,2.183353018,5.13E-10
TLR8,-1.161390124,5.15E-10
MMRN1,2.8364337,5.15E-10
SNAPC1,0.886049847,5.17E-10
PRPS1,1.535578465,5.18E-10
CUL3,4.296065929,5.24E-10
BCL2L1,2.451176035,5.25E-10
ZNF43,2.250245718,5.27E-10
SIRPD,0.870620341,5.29E-10
PIN1,2.494549624,5.33E-10
CLDN7,1.182050247,5.37E-10
NCOA7,1.2109153,5.42E-10
COLQ,2.097872059,5.44E-10
GRP,0.890728288,5.50E-10
RUNX2,0.626754718,5.51E-10
ATF6,4.616018753,5.54E-10
CGREF1,1.379941218,5.55E-10
MAGEA9,2.835266912,5.58E-10
SLC27A1,2.278938924,5.58E-10
TRIM16L,1.103776806,5.59E-10
DTWD2,1.002125753,5.63E-10
CEP295,1.517641647,5.67E-10
ZNF486,0.506708435,5.67E-10
QPRT,2.078559082,5.68E-10
CSNK2A1,0.951330118,5.71E-10
LRRFIP2,1.071398012,5.75E-10
CEP76,-2.471482747,5.78E-10
PRSS1,1.552356,5.78E-10
CLEC14A,0.909209229,5.81E-10
HOXD8,3.515842235,5.81E-10
ARTN,1.044723482,5.82E-10
CACNB3,0.853680129,5.87E-10
OSER1-DT,0.875360035,5.88E-10
TEDC1,-1.165599382,5.88E-10
GAS8-AS1,1.721493459,5.93E-10
TSPAN12,-1.132310041,5.98E-10
CBX2,1.711498353,5.99E-10
EPX,0.963863635,5.99E-10
CPXM2,1.878063376,6.00E-10
SSX5,4.534307871,6.01E-10
RIOX1,6.830047647,6.03E-10
DTYMK,-2.383842894,6.04E-10
SH3BGRL3,-1.490053129,6.11E-10
YTHDF1,1.4544776,6.15E-10
HBP1,2.651776618,6.18E-10
OR10A4,1.361894929,6.19E-10
ZNFX1,1.5627995,6.19E-10
MANBA,0.972757129,6.20E-10
ZSCAN12,2.572610065,6.24E-10
LINC01281,1.947287835,6.27E-10
UBE3A,4.150118812,6.28E-10
MMP13,1.6699829,6.29E-10
TCF12,1.383843529,6.32E-10
MTMR12,2.100948959,6.33E-10
SDHC,3.312914382,6.33E-10
UBN2,1.732672124,6.35E-10
ITGB1BP1,3.007878094,6.36E-10
CCL22,0.561881553,6.40E-10
CHST4,1.193522476,6.43E-10
FPR2,1.425061941,6.47E-10
RPS17,4.6905907,6.48E-10
GPER1,-1.086432682,6.53E-10
ZCCHC2,1.636079724,6.55E-10
SPINK6,1.8296835,6.60E-10
VPS18,-1.539807988,6.62E-10
ANO8,0.890626824,6.62E-10
PSMD1,1.275059076,6.63E-10
RARB-AS1,1.637504859,6.71E-10
ASMT,1.909361659,6.71E-10
PSMD12,5.518430388,6.73E-10
INTS7,3.480280571,6.75E-10
ZNF264,0.842766553,6.78E-10
PAN2,1.455164853,6.80E-10
GOT2,5.716840571,6.80E-10
MAN2C1,1.681549,6.82E-10
ACER2,3.249887747,6.82E-10
ZNF669,-1.776150247,6.82E-10
REG1B,1.788615724,6.85E-10
LOC729815,-2.232441706,6.87E-10
NBL1,1.0132484,6.89E-10
CDIN1,2.639348782,6.92E-10
RPS18,1.508305376,6.92E-10
LINC02693,-1.609601724,6.97E-10
CD38,1.410310759,7.00E-10
SNORD3B-1,1.500916429,7.00E-10
VAPA,3.580153647,7.17E-10
OR12D2,1.919022994,7.21E-10
SUGT1,4.132572276,7.24E-10
KIR2DL2,2.306872971,7.26E-10
TGFBRAP1,1.678069812,7.29E-10
ST13,0.949682529,7.31E-10
LINC00920,0.699626629,7.38E-10
LINC02997,1.031805218,7.41E-10
CENPO,1.217652106,7.46E-10
FBXO41,2.546254782,7.49E-10
UBL4B,-1.633665512,7.51E-10
NCK1,1.375406824,7.51E-10
WFDC1,1.255824406,7.54E-10
SPIDR,0.971441771,7.58E-10
GPN1,3.421278235,7.59E-10
BIRC7,-1.430539335,7.60E-10
CRB2,1.940815059,7.61E-10
CLDN9,1.481533353,7.64E-10
PON1,1.033592359,7.67E-10
LINC00221,1.512363759,7.71E-10
FAM184B,2.666005141,7.73E-10
PCOLCE2,1.163595576,7.77E-10
GSTM4,3.276897935,7.84E-10
ACTR6,1.089036024,7.92E-10
SPRYD4,1.105884635,7.93E-10
OR51M1,0.728116294,7.93E-10
CD2BP2,2.2058822,7.98E-10
RNF103,2.744228429,8.00E-10
RSPH1,1.154174218,8.01E-10
VCPIP1,1.044858518,8.03E-10
LVRN,1.856079494,8.05E-10
LOC105372602,1.792881188,8.20E-10
ZFAND3,1.676492935,8.23E-10
NKAIN1,-1.084927247,8.24E-10
CPE,1.175518635,8.24E-10
S100A2,1.392131071,8.26E-10
ARHGAP33,0.675518124,8.27E-10
ITGB1BP2,1.702265953,8.33E-10
KRTAP5-8,3.335891794,8.39E-10
CCDST,1.060562941,8.51E-10
GUCA1A,1.269535159,8.52E-10
PHYHIPL,0.870446335,8.54E-10
CASP10,3.768487559,8.59E-10
RASD1,0.993448594,8.64E-10
EIF4E2,1.404272794,8.69E-10
MRPL32,1.797346406,8.71E-10
SSTR3,0.908690135,8.79E-10
SLC38A3,1.444786935,8.80E-10
SYNGR2,6.896239094,8.82E-10
HOXA10,1.134773953,8.83E-10
KLHL34,1.774404818,8.85E-10
TIPARP-AS1,1.245651571,8.92E-10
MFSD4A-AS1,2.194486894,8.96E-10
TET2,0.726807176,8.96E-10
THAP1,1.948813771,8.99E-10
ARHGEF7,1.2732385,8.99E-10
IFT70A,3.414303594,9.01E-10
EIF5A2,0.616627271,9.04E-10
PARN,-2.046812329,9.05E-10
CYBC1,2.218936576,9.17E-10
SLC9C2,1.5051701,9.24E-10
B3GNT2,1.112191118,9.27E-10
GAGE6,0.834444353,9.28E-10
HNMT,-1.712215624,9.29E-10
SAFB2,2.635858118,9.31E-10
IL13RA1,0.8998417,9.31E-10
NPY1R,1.717503141,9.35E-10
SLC6A12,1.181290882,9.35E-10
MYH16,1.613626094,9.37E-10
NPAS3,1.048238659,9.44E-10
RAB5IF,-1.707361729,9.46E-10
AUP1,1.294674753,9.48E-10
PCDH20,0.844419576,9.48E-10
TAF1A,-1.451522129,9.49E-10
RPL37A,1.985996824,9.49E-10
MRPL55,2.443427594,9.50E-10
TUB,3.925754394,9.54E-10
R3HDM1,2.831673447,9.61E-10
HP,-1.180796147,9.61E-10
NAT10,1.234277171,9.64E-10
BTG3,0.599156876,9.69E-10
PCDHB17P,1.7865691,9.74E-10
ZNF691,0.851478294,9.75E-10
ST3GAL6,2.149834112,9.77E-10
EIF2AK2,1.958258541,9.81E-10
SP3P,1.038242306,9.86E-10
FLOT2,0.891403376,9.88E-10
WDR26,2.462080512,1.01E-09
ALDH3A2,3.538803459,1.02E-09
CA12,1.438184247,1.02E-09
CYP7B1,2.074068953,1.02E-09
ERCC8,3.386077953,1.03E-09
BOLA1,-1.775874818,1.03E-09
CYB5B,3.712946912,1.03E-09
KCNMB2,2.562618141,1.06E-09
PADI4,1.075484988,1.06E-09
SETD5,1.401362041,1.06E-09
TAGLN3,1.017903888,1.06E-09
ABCG8,1.642625971,1.06E-09
CBX1,1.760422712,1.07E-09
MIR1915HG,1.139020459,1.08E-09
TNFRSF1B,2.496881135,1.08E-09
NECAP2,1.553515094,1.08E-09
MTPN,2.7642336,1.08E-09
RNF208,0.663290753,1.08E-09
GOLT1B,2.471073147,1.08E-09
MEIOC,1.135701947,1.09E-09
DRICH1,1.581982806,1.10E-09
DCTD,1.336088512,1.10E-09
PPP1R12C,1.333131329,1.11E-09
SMG1,0.912959212,1.11E-09
CDK5R2,-2.002240529,1.12E-09
CCL16,1.103870612,1.13E-09
HACD3,0.684389747,1.13E-09
CRACD,4.243936741,1.14E-09
STK11IP,2.730364371,1.14E-09
OR5J2,7.123061894,1.15E-09
CCDC70,1.343225806,1.15E-09
RNASEH2B,2.142611418,1.16E-09
PXMP4,1.212043518,1.17E-09
ALDOB,4.423572541,1.17E-09
ATRNL1,1.261188053,1.17E-09
GPS1,1.545001629,1.18E-09
VCF2,1.063059071,1.18E-09
DGAT2,1.826629718,1.19E-09
ID2B,1.718888465,1.19E-09
NDRG2,6.678274612,1.19E-09
PIGC,2.492796106,1.20E-09
TIGD5,1.433981876,1.21E-09
A4GNT,1.850270647,1.21E-09
RPL5,1.604084465,1.23E-09
MSRB1,1.213493494,1.24E-09
UGT1A3,-0.769490059,1.24E-09
HAO2,1.167360524,1.25E-09
DDX55,2.264289424,1.25E-09
OR2F2,3.707018765,1.26E-09
GZF1,-1.491875988,1.26E-09
COMT,2.920858829,1.27E-09
DGKE,1.109843576,1.28E-09
MVD,1.338049818,1.28E-09
SLC30A4,1.431718365,1.29E-09
HIF1AN,1.548108629,1.30E-09
DPY19L2,2.541726018,1.30E-09
PCYT2,1.297102959,1.30E-09
LINC00923,0.492667871,1.31E-09
SUMO1,0.791245835,1.31E-09
FDFT1,1.304575276,1.32E-09
PTHLH,0.8273094,1.33E-09
TBX10,-1.762678047,1.33E-09
MAPK8IP3-AS1,1.506881594,1.33E-09
FRG1HP,2.704458147,1.33E-09
H6PD,1.477701429,1.33E-09
LINC02149,1.070843618,1.34E-09
WDR86,1.539304488,1.34E-09
NMRK2,1.333640294,1.34E-09
PUS1,1.556415065,1.34E-09
RPL27,-1.330125894,1.35E-09
MAT2A,1.207994888,1.35E-09
USP36,0.937229312,1.36E-09
CHAC2,1.588729894,1.36E-09
PSPC1,0.447797529,1.36E-09
PMPCA,1.068337865,1.37E-09
ALDH1B1,1.171445488,1.37E-09
POLI,4.242385247,1.38E-09
FHIP1B,3.925143976,1.38E-09
CDSN,3.344029718,1.38E-09
PCAT6,1.901979835,1.38E-09
GSTZ1,1.1195258,1.38E-09
PLP2,4.654694494,1.38E-09
STMP1,5.200625141,1.40E-09
PARP3,1.074960912,1.41E-09
RAMP3,1.286751041,1.41E-09
BCL10,-1.078713994,1.41E-09
LINC01842,0.725287824,1.41E-09
GPR183,1.330471659,1.43E-09
NBPF12,0.888804288,1.43E-09
GANAB,1.230495224,1.43E-09
TMEM161B-DT,1.131673776,1.44E-09
LPAL2,2.217342159,1.45E-09
CA5A,-1.5041434,1.45E-09
ETS1-AS1,0.711009406,1.45E-09
TNFRSF10B-AS1,1.214250094,1.45E-09
PLA1A,1.098841112,1.46E-09
ZNHIT2,1.0174395,1.47E-09
OSBPL6,1.256389818,1.47E-09
PHLDA2,1.296830706,1.48E-09
AQR,1.198097088,1.48E-09
TMEM126B,2.534490912,1.48E-09
GALNS,3.523545588,1.49E-09
MTRR,1.722563218,1.51E-09
LOC105372480,1.029233135,1.52E-09
RPL19,1.705707529,1.52E-09
VSIG1,1.052745624,1.54E-09
RTCB,1.603755382,1.55E-09
SEMA7A,-1.364269853,1.55E-09
UTF1,0.989934212,1.56E-09
TRBV21-1,1.266755153,1.56E-09
LOC284912,2.540163271,1.57E-09
FGF3,1.044474329,1.58E-09
LINC00525,-1.750734347,1.59E-09
F7,4.2032171,1.60E-09
HMGN5,1.472364412,1.60E-09
GMDS-DT,2.283093312,1.61E-09
HNRNPK,2.127436871,1.61E-09
PSMC5,1.369450465,1.62E-09
KIAA1191P2,1.233447094,1.63E-09
PLXDC1,1.287764806,1.64E-09
CLIC4,5.783654559,1.64E-09
CMPK1,2.940253588,1.64E-09
SCYL3,0.803069341,1.65E-09
HLA-DRB4,-2.253511465,1.65E-09
ARFGEF3,1.402677841,1.65E-09
LGALS7,1.420166953,1.67E-09
TJP3,4.811167247,1.68E-09
LOC105374768,1.501364888,1.69E-09
UQCC2,2.895678512,1.69E-09
ELF5,1.521304276,1.70E-09
PISD,3.569339335,1.71E-09
SULT1C2,5.031981506,1.71E-09
CDR1,2.934090612,1.72E-09
ZSCAN26,1.277553712,1.74E-09
NDUFS8,2.109835241,1.74E-09
ASZ1,0.781567424,1.74E-09
AZIN1,1.730362353,1.75E-09
KNG1,1.562634347,1.76E-09
NARS2,-2.008866918,1.76E-09
CDKL5,2.561784224,1.77E-09
KITLG,0.562417171,1.77E-09
FUCA2,1.645405382,1.79E-09
NRARP,1.736184294,1.79E-09
FAM110D,1.382654259,1.81E-09
TRIM73,1.443391365,1.81E-09
CENPN,-1.363978518,1.81E-09
PRPH2,1.302162471,1.83E-09
TIMP3,4.223015129,1.84E-09
ETNPPL,0.568735071,1.84E-09
GFI1,1.393996629,1.88E-09
AAAS,2.372259788,1.88E-09
NCLN,-2.230209129,1.88E-09
COPS7B,1.814530629,1.89E-09
CRPPA-AS1,-2.042214265,1.91E-09
ZNF805,1.561141376,1.91E-09
NMNAT3,0.661710753,1.92E-09
FBXO27,1.601161229,1.93E-09
UFSP2,1.705514047,1.93E-09
LINC01648,0.647635435,1.93E-09
RPL10,1.354506465,1.94E-09
SSUH2,-1.397034753,1.94E-09
SLC6A16,6.243386947,1.94E-09
MAT2B,2.5015642,1.94E-09
RRAD,2.046838841,1.94E-09
ROR1,4.325110582,1.96E-09
MAMDC2-AS1,0.526838347,1.98E-09
HAS1,-2.027211347,1.99E-09
NUDT6,1.164396471,1.99E-09
TBX5-AS1,1.460563824,2.00E-09
NACA4P,1.116731165,2.01E-09
PCDHA9,1.041636294,2.01E-09
DAZ3,0.703622941,2.01E-09
MIR622,0.644660159,2.02E-09
SNX12,2.251756282,2.02E-09
TRIM28,-1.838493253,2.03E-09
SLC25A29,3.950724294,2.04E-09
ZC3H12A,1.588067071,2.04E-09
SAA3P,1.966376129,2.04E-09
SCNN1D,2.421318324,2.04E-09
LOC145474,1.636376512,2.04E-09
LINC00689,1.193075776,2.05E-09
SLC6A2,0.623881347,2.05E-09
CBLIF,-2.647739588,2.05E-09
DSG4,0.669302665,2.07E-09
WASIR2,2.868539018,2.08E-09
ACP6,0.989427118,2.09E-09
LOC101928519,6.303988506,2.09E-09
LNCATV,1.868240712,2.10E-09
RASGRP3,-0.869335059,2.11E-09
GLYR1,1.476728506,2.12E-09
ZNF696,2.2252327,2.13E-09
INTS9,0.912925876,2.13E-09
TAGLN,2.005085141,2.14E-09
TLNRD1,1.567806418,2.15E-09
LINC00616,-0.4882382,2.15E-09
SNAP47,1.741524641,2.15E-09
BTBD10,2.265997965,2.16E-09
ECI1,5.481656482,2.17E-09
LY75,3.284422824,2.17E-09
MBIP,1.602351029,2.17E-09
AMDHD2,1.193231994,2.18E-09
BPGM,0.462370559,2.19E-09
PXN,-1.616489118,2.19E-09
IFI35,0.798345576,2.19E-09
BRD7P3,1.0842733,2.21E-09
LINC02042,1.905917147,2.22E-09
GOLGB1,1.624913235,2.24E-09
TMEM17,-1.188172612,2.24E-09
COX6A2,3.564617482,2.27E-09
SYN2,-0.925052124,2.29E-09
LRRC66,0.961368782,2.30E-09
LPAR4,1.633333347,2.31E-09
DAB2IP,-1.376974818,2.32E-09
NDC1,1.929398188,2.32E-09
PLEK,1.347223365,2.35E-09
PTK7,-1.037418241,2.35E-09
TANGO2,1.810702506,2.35E-09
FOXRED1,2.565999724,2.38E-09
ZBED5,2.912335335,2.38E-09
NAGPA,3.301208271,2.38E-09
NMUR1,1.549520106,2.40E-09
TOR1AIP2,1.941203518,2.42E-09
LAGE3,1.701486841,2.46E-09
RUNX1-IT1,4.480540941,2.47E-09
LSM8,1.318463529,2.48E-09
KIF2A,0.824528859,2.49E-09
CDC42EP4,2.037436129,2.50E-09
SMC1A,1.270755641,2.50E-09
LINC01957,0.559988382,2.50E-09
SLC8A2,3.685132188,2.52E-09
CCDC28A-AS1,0.738200694,2.52E-09
IL36G,0.831098918,2.54E-09
BBS7,3.481261524,2.56E-09
ZNF17,1.324041018,2.56E-09
GHET1,1.262322682,2.56E-09
SEPTIN7,1.302547253,2.57E-09
COG2,2.613114794,2.59E-09
LGR5,0.678868659,2.60E-09
ATP6V0C,1.801048424,2.60E-09
MAN1B1-DT,1.281432676,2.61E-09
MFSD14A,2.568417406,2.61E-09
ACAP2,0.960026218,2.63E-09
FRMD4B,1.966994829,2.64E-09
DNAH7,1.179900953,2.64E-09
TRIM46,0.908286794,2.65E-09
ARHGEF7-AS2,0.479686865,2.67E-09
OR1A1,1.546507512,2.68E-09
TTPAL,0.970158135,2.70E-09
SLC25A42,1.456835865,2.73E-09
ABCC2,1.607039882,2.73E-09
SCAMP4,5.233914594,2.73E-09
LINC00656,1.088272553,2.73E-09
CISD3,1.006756476,2.73E-09
FAM181B,2.2814872,2.73E-09
LINC01121,1.227642959,2.77E-09
TRBV16,1.7719175,2.78E-09
CRTC3,1.639766171,2.80E-09
EGLN2,1.959442435,2.80E-09
TMEM69,2.954176294,2.82E-09
CLIC3,1.346934776,2.84E-09
PKIA-AS1,1.525750053,2.84E-09
STX8,1.451714347,2.90E-09
EARS2,1.024435024,2.91E-09
ADGRV1,1.020889488,2.92E-09
TIMM10B,1.221667441,2.92E-09
GRB10,1.709609694,2.92E-09
ANKRD1,0.902266624,2.95E-09
NOC4L,2.318060741,2.95E-09
METTL3,2.234535865,2.98E-09
GSN-AS1,0.729029782,2.99E-09
PAIP2,0.7393516,3.00E-09
TBC1D25,2.093937147,3.00E-09
KRBA2,1.994044653,3.00E-09
SOD3,-1.395490924,3.02E-09
PAIP2B,2.896849047,3.02E-09
PDK3,1.152661694,3.03E-09
TLE3,-1.504085265,3.03E-09
DENND2A,1.982143241,3.04E-09
KCNQ5,3.604536806,3.04E-09
SEC24C,0.620217482,3.07E-09
BIRC3,2.246790394,3.09E-09
BEND7,0.575596435,3.09E-09
MTMR9,0.779016947,3.12E-09
XRCC2,1.601502953,3.15E-09
BIRC2,2.345887735,3.15E-09
IGSF9,1.154856041,3.17E-09
ETV2,-1.735424912,3.18E-09
HCCS,1.211206235,3.18E-09
AK4,0.778168071,3.19E-09
TRAPPC5,1.702680206,3.20E-09
COX7A2,1.940737941,3.22E-09
AREG,1.541286971,3.22E-09
CPA2,1.222147929,3.23E-09
VPS13D,1.254017718,3.25E-09
BCAS1,1.310187653,3.28E-09
FZD2,0.903209994,3.30E-09
ZNF345,4.488401106,3.31E-09
LINC00632,1.086518529,3.32E-09
NNMT,-1.355101406,3.32E-09
MYL10,-0.966713006,3.35E-09
KIF18B,4.026528435,3.36E-09
RCOR1,2.166743594,3.37E-09
ZNF79,0.971784088,3.37E-09
TTTY5,2.302198947,3.41E-09
CLDN15,1.209007976,3.44E-09
OASL,-1.572671912,3.47E-09
TP53I11,4.400357835,3.47E-09
GNL1,1.051580612,3.49E-09
LINC00588,4.029622324,3.49E-09
LINC01128,1.328170829,3.49E-09
CKAP4,1.375183788,3.50E-09
C19orf81,3.821662688,3.51E-09
LMO3,1.442337106,3.52E-09
ZEB1,1.449671682,3.56E-09
MAGI1-IT1,2.352594518,3.58E-09
FGFR3,2.557426935,3.60E-09
USB1,-1.442426871,3.61E-09
PRKACB,1.425154029,3.62E-09
LHX3,0.833283276,3.63E-09
LDHD,-1.557755312,3.63E-09
CYP3A43,0.833852912,3.65E-09
C15orf48,1.665060235,3.66E-09
C22orf15,2.084230165,3.67E-09
KCMF1,1.130857888,3.67E-09
DHTKD1,-0.963333541,3.68E-09
MC2R,0.861859953,3.71E-09
ABHD11,2.169655041,3.72E-09
LTN1,-1.661874582,3.72E-09
AEN,1.813166771,3.74E-09
DIAPH2,-1.047047912,3.75E-09
RAB27A,3.019731182,3.78E-09
SCNM1,1.828576071,3.78E-09
LINC02842,1.231097529,3.80E-09
KLRG1,1.712085229,3.83E-09
MCOLN3,2.405990506,3.84E-09
VPS13A,0.796148106,3.84E-09
NLK,1.210760282,3.85E-09
SLC29A4,-1.096686529,3.87E-09
RPL13AP17,-2.076352424,3.96E-09
GLT8D1,2.768329424,4.00E-09
AK2,1.178811712,4.01E-09
LOC105378231,-1.729568218,4.07E-09
CSAG3,3.395019753,4.09E-09
COL1A2,1.254364441,4.10E-09
LSM4,1.362627365,4.11E-09
UBE2D1,2.071405112,4.12E-09
LGR6,2.578051194,4.16E-09
LOC101928495,1.174312912,4.18E-09
LRRK1,1.691708506,4.19E-09
LINC00700,1.280377765,4.20E-09
TMEM128,0.912106488,4.21E-09
CTNNBL1,1.345161424,4.22E-09
TMSB15B-AS1,3.791975518,4.25E-09
CDHR1,0.628055106,4.25E-09
TUBB2B,1.258442465,4.26E-09
SAGE1,2.731803165,4.26E-09
HINFP,1.877686059,4.28E-09
FCGR2A,-1.349713647,4.30E-09
DNAJC24,0.764233976,4.31E-09
CRTAM,1.234327576,4.34E-09
ADAM12,3.420847612,4.34E-09
PMM1,1.410149635,4.36E-09
TIAM1,-1.601421318,4.36E-09
RNF167,1.906287429,4.39E-09
C20orf181,3.733751641,4.40E-09
SLC9A7,1.898206576,4.41E-09
PATJ,1.782322759,4.43E-09
LINC02653,1.610390212,4.44E-09
TTC23,-1.761294947,4.44E-09
GSS,1.987984529,4.45E-09
RRM1,1.706646818,4.45E-09
LINC00597,1.153545206,4.46E-09
PDCD6P1,2.777383241,4.47E-09
RNASET2,1.017311324,4.49E-09
CHMP3,1.032681065,4.53E-09
NCBP3,1.4502662,4.54E-09
TBC1D16,-1.585067312,4.55E-09
TNFRSF19,3.357549435,4.58E-09
DDOST,1.486009688,4.58E-09
DBNDD1,2.372932659,4.62E-09
APCS,1.829987141,4.62E-09
KCNE2,1.886016712,4.63E-09
DAZ2,2.9459268,4.64E-09
OPRL1,1.492585953,4.65E-09
DTD1-AS1,1.643239271,4.68E-09
MRPL37,3.388838865,4.68E-09
SETD7,-2.043594006,4.68E-09
C1R,1.564158459,4.69E-09
CEBPA,1.085260747,4.69E-09
ADRA1D,-1.742316094,4.69E-09
IFRD1,3.060037571,4.70E-09
HCG4B,1.716252882,4.72E-09
STAG2,2.131622388,4.72E-09
DUOX1,1.359358159,4.72E-09
MSRB3,0.919379371,4.77E-09
PLPPR2,1.323167741,4.79E-09
LYSMD3,2.327731024,4.79E-09
